vtaxid,no human-to-human,limited human-to-human,sustained human-to-human,pred_label
286540,0.5800,0.1236,0.2965,no human-to-human
2936928,0.0741,0.0289,0.8970,sustained human-to-human
295016,0.0741,0.0289,0.8970,sustained human-to-human
2994337,0.1630,0.0553,0.7817,sustained human-to-human
3047346,0.0788,0.0298,0.8913,sustained human-to-human
3047369,0.0741,0.0289,0.8970,sustained human-to-human
3047370,0.0788,0.0298,0.8913,sustained human-to-human
3047809,0.0788,0.0298,0.8913,sustained human-to-human
3047952,0.0741,0.0289,0.8970,sustained human-to-human
3048166,0.0741,0.0289,0.8970,sustained human-to-human
3048206,0.0788,0.0298,0.8913,sustained human-to-human
3048297,0.0741,0.0289,0.8970,sustained human-to-human
3048318,0.0741,0.0289,0.8970,sustained human-to-human
3048439,0.0824,0.0372,0.8804,sustained human-to-human
3050329,0.0741,0.0289,0.8970,sustained human-to-human
3052316,0.1034,0.0320,0.8646,sustained human-to-human
3052329,0.2350,0.0440,0.7210,sustained human-to-human
3052343,0.0741,0.0289,0.8970,sustained human-to-human
3052370,0.0741,0.0289,0.8970,sustained human-to-human
3052380,0.0741,0.0289,0.8970,sustained human-to-human
3052393,0.0741,0.0289,0.8970,sustained human-to-human
3052394,0.0741,0.0289,0.8970,sustained human-to-human
3052400,0.2119,0.0332,0.7549,sustained human-to-human
3052404,0.6848,0.1330,0.1823,no human-to-human
3052421,0.0559,0.0314,0.9126,sustained human-to-human
3052424,0.0741,0.0289,0.8970,sustained human-to-human
3052441,0.0741,0.0289,0.8970,sustained human-to-human
3052445,0.6670,0.0556,0.2774,no human-to-human
3052457,0.8134,0.0943,0.0923,no human-to-human
3052467,0.0788,0.0298,0.8913,sustained human-to-human
3052492,0.0559,0.0314,0.9126,sustained human-to-human
3052509,0.0741,0.0289,0.8970,sustained human-to-human
3052521,0.1886,0.0330,0.7784,sustained human-to-human
3052538,0.1945,0.0356,0.7699,sustained human-to-human
3052616,0.0741,0.0289,0.8970,sustained human-to-human
3052618,0.0741,0.0289,0.8970,sustained human-to-human
3052620,0.0741,0.0289,0.8970,sustained human-to-human
3052621,0.0741,0.0289,0.8970,sustained human-to-human
3052625,0.3566,0.0825,0.5610,sustained human-to-human
3052626,0.0741,0.0289,0.8970,sustained human-to-human
3052637,0.0741,0.0289,0.8970,sustained human-to-human
3052661,0.3627,0.0933,0.5439,sustained human-to-human
3052809,0.0741,0.0289,0.8970,sustained human-to-human
3052826,0.6038,0.0441,0.3520,no human-to-human
3060496,0.0559,0.0314,0.9126,sustained human-to-human
3060507,0.0741,0.0289,0.8970,sustained human-to-human
308159,0.4921,0.1602,0.3477,no human-to-human
