feature,class,shap_importance
P08581,3,0.006514326936373443
Q9Y5L4,4,0.0065067497556991
Q14186,4,0.006477263931006925
O43678,2,0.006466186831449886
P84103,4,0.006455891927368378
Q92945,3,0.006424346788352666
P30405,3,0.00639588011189889
Q9Y2D8,4,0.0063930558615723256
Q15276,2,0.00635628428394862
Q8NHP6,4,0.006277625754188201
P06213,2,0.006240949564654171
Q6P5Z2,3,0.006234728332214574
Q5TC82,3,0.006229286675072969
P18859,2,0.0061544612471457925
Q15022,2,0.006127779128767471
P29317,2,0.0060738102025819024
Q8N5R6,2,0.006045778028638348
P06213,3,0.006001718768108106
Q9Y5L4,3,0.005970987429849335
Q9Y2D8,2,0.005958065979161005
P05455,2,0.005951738280432847
P35580,3,0.005949369396457047
P84103,2,0.005908381288709003
Q9UNH7,4,0.005871241211850369
Q15303,4,0.005868331117296909
P46778,4,0.005853233305409446
P29317,4,0.005837424434444265
Q92673,3,0.005780065315953445
Q86VR2,2,0.005765444079931431
Q86VR2,4,0.005755942284317596
Q92673,4,0.005743434769971101
Q07065,3,0.005724177877780646
O00268,2,0.005720140202169272
P54707,4,0.005637772202128914
O00499,4,0.0056333503732982374
P14314,3,0.00561191941624962
Q6P5Z2,2,0.005611524177018929
P07814,4,0.005468473071367973
Q2NL82,2,0.005412025180543297
Q9H0U4,2,0.005377948887485673
O95478,4,0.005375689093866661
Q14186,2,0.005371043778294664
Q9BUF5,2,0.005274973743466007
P62273,3,0.005271423368123614
P12755,2,0.00524659431651459
Q2TAC2,4,0.005246545028552337
Q99496,2,0.005243894543196973
O60573,4,0.005140706886093921
Q13546,3,0.005135084478550349
O15357,3,0.005069506481255176
O75147,2,0.0050152949705816715
Q15366,4,0.005010648241601715
O14497,4,0.004982656839932261
Q2T9L4,3,0.004978039461132701
P08581,2,0.0049389411948626534
Q07065,4,0.004899858195043943
P11274,2,0.0048766777746625635
O95470,3,0.004862229343295103
Q969Q1,4,0.004860696646355527
Q9C0F1,2,0.0048576797826978615
P21860,4,0.0048573890361264084
Q14152,2,0.00478911864818305
Q9BZV1,4,0.004754016557675725
Q96JN8,3,0.0047429270322090775
Q15366,2,0.004737649753144905
P46060,4,0.00472802232816784
O95817,3,0.0047153194187828954
O60573,2,0.0047152343115347455
P18859,3,0.004706811774106807
P49459,3,0.004663464004076086
Q15276,4,0.004651036380984391
O00499,3,0.0046480920272188265
Q2TAC2,3,0.004639881840929477
Q9BZV1,3,0.004619940009251735
P12755,3,0.004618292881367683
P35580,2,0.004586336998108705
O95478,2,0.004563971391850681
Q07157,3,0.004532135715923393
P62266,4,0.004531868465425835
O43795,2,0.004530570390147187
Q96LK0,3,0.004492288590014394
O14497,3,0.004485131427858595
O95967,4,0.004472041908812974
O95858,3,0.0044667380015811714
Q9BUZ4,4,0.004439498420366662
O95858,4,0.004420968770143536
P98172,2,0.0043668691562533165
P18859,4,0.004362627742070582
P46778,2,0.004361233597670209
Q5T7N2,3,0.004347753157024267
O75947,4,0.004335102738640465
P51610,4,0.004238456875489941
Q15303,3,0.004226418095547911
Q9UJY1,4,0.004225193365087083
Q13347,4,0.004221185648961475
P04264,4,0.004189561292418932
P62266,2,0.0041575447184391415
Q2NL82,3,0.004145252935418636
Q9UNH7,2,0.004114660388308287
Q13347,2,0.004110166667218577
Q96ED9,4,0.004090400485007775
Q14152,4,0.004087146492205809
Q9Y224,4,0.004083046269918247
Q01860,2,0.0040159808180599485
P48047,3,0.004011036678369142
P62875,2,0.00400538505888905
Q99496,4,0.004001023837054391
P63220,2,0.003974727105091504
Q15907,4,0.0039701003605974085
P25791,4,0.003959070135285982
Q96L14,4,0.003935166081194167
P19438,3,0.003926279583913916
Q9UI12,4,0.00390222127282049
Q9NPF5,4,0.003864605752043473
Q96FW1,4,0.0038353193476164706
P55884,2,0.003820885151737356
Q2T9L4,2,0.00380278320038147
Q13526,2,0.0038023026132846843
P46060,2,0.00377517278625298
P31323,4,0.003767982633458391
Q27J81,2,0.003760551435687371
Q07157,4,0.0037537491811393906
O95817,2,0.0037203248510090056
Q969Q1,2,0.0036834297615858007
Q9H7B2,3,0.003664994273547494
Q13123,2,0.003659773789203874
P35680,3,0.003644435611235205
P04156,3,0.0036004019735864164
P48047,4,0.0035916423510410672
Q6Y7W6,2,0.003583226473810143
Q14697,2,0.0035640822423010756
Q05519,2,0.003525926259489015
Q96JN8,4,0.003524007786338253
O15357,2,0.0035128400323924534
P11274,4,0.003510781150857873
Q9NPF5,3,0.0034987379552911205
Q16512,4,0.003485888071430493
O15078,2,0.0034578349929704436
P63220,4,0.0034516547276050033
Q8IZP0,2,0.0034341251096428305
Q16512,3,0.0034187831935026157
P17174,4,0.0034094885721530055
O75147,4,0.0034056161132716254
Q9H0U4,4,0.0033979809500411322
P55854,4,0.0033867451620191434
Q8IZP0,4,0.0033865262370460945
Q16513,4,0.0033737779090978024
O00268,3,0.0033630217637462293
Q9BUF5,3,0.003350384043340816
Q13546,2,0.0033498032548035118
Q9Y2H9,4,0.003311843099859711
P63261,2,0.0032954052906061394
P32246,4,0.003264772256871526
Q9UI12,2,0.0032567433995467797
