Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Positive Regulation Of Peptide Hormone Secretion (GO:0090277)	1/46	6.679406e-02	1.463298e-01	0	0	1.526820e+01	4.131790e+01	AIMP1
GO_Biological_Process_2023	Negative Regulation Of Cellular Metabolic Process (GO:0031324)	1/46	6.679406e-02	1.463298e-01	0	0	1.526820e+01	4.131790e+01	TERF2
GO_Biological_Process_2023	Negative Regulation Of Hydrolase Activity (GO:0051346)	1/47	6.819709e-02	1.463298e-01	0	0	1.493553e+01	4.010718e+01	TERF2
GO_Biological_Process_2023	DNA Metabolic Process (GO:0006259)	2/288	6.904044e-02	1.463298e-01	0	0	4.916084e+00	1.314100e+01	INTS3;TERF2
GO_Biological_Process_2023	Cellular Defense Response (GO:0006968)	1/48	6.959808e-02	1.463298e-01	0	0	1.461702e+01	3.895463e+01	LGALS3BP
GO_Biological_Process_2023	Cellular Response To Radiation (GO:0071478)	1/48	6.959808e-02	1.463298e-01	0	0	1.461702e+01	3.895463e+01	TANK
GO_Biological_Process_2023	Negative Regulation Of ERK1 And ERK2 Cascade (GO:0070373)	1/48	6.959808e-02	1.463298e-01	0	0	1.461702e+01	3.895463e+01	PTPRR
GO_Biological_Process_2023	Erythrocyte Differentiation (GO:0030218)	1/49	7.099704e-02	1.463298e-01	0	0	1.431178e+01	3.785634e+01	ACIN1
GO_Biological_Process_2023	Negative Regulation Of DNA Metabolic Process (GO:0051053)	1/49	7.099704e-02	1.463298e-01	0	0	1.431178e+01	3.785634e+01	TERF2
GO_Biological_Process_2023	Interferon-Mediated Signaling Pathway (GO:0140888)	1/49	7.099704e-02	1.463298e-01	0	0	1.431178e+01	3.785634e+01	TANK
GO_Biological_Process_2023	Regulation Of Epithelial Cell Migration (GO:0010632)	1/50	7.239397e-02	1.469652e-01	0	0	1.401900e+01	3.680874e+01	PTPRR
