vtaxid,Genome Type,Virulence,Transmissibility,Tissue Tropism,Transmission Route,virulence
1899067,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
1899068,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
1899069,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
1899070,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
1899071,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
1899072,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
1899073,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
1899074,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
1899075,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
1899076,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
1899077,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
1899078,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
1899079,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
1899080,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
1899081,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
1899082,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
1899083,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
1899084,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
1899085,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
1899086,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
1906931,dsRNA,high level,sustained human-to-human,gastrointestinal,vector,low level
1907787,dsRNA,low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
1912147,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
1914575,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
