Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes	Module
GO_Biological_Process_2021	mRNA splicing, via spliceosome (GO:0000398)	28/274	5.082223823062589e-28	4.060696834627009e-25	0	0	27.605139014353107	1734.890059253905	SF3B4;SF3B3;RBM8A;SF3B6;SRSF1;PRPF19;EFTUD2;PNN;PUF60;TRA2A;POLR2D;BCAS2;HNRNPA0;PRMT5;SF3A2;HNRNPM;NUDT21;SFPQ;SNW1;PSPC1;SNRPG;SRSF3;RNPS1;SRSF5;HNRNPH3;SNRPC;SRSF7;RBMX	5.0
GO_Biological_Process_2021	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	27/251	1.2533090123379882e-27	5.006969504290263e-25	0	0	28.909462108013937	1790.768017063998	SF3B4;SF3B3;RBM8A;SF3B6;SRSF1;PRPF19;EFTUD2;PNN;PUF60;TRA2A;POLR2D;BCAS2;HNRNPA0;SF3A2;HNRNPM;NUDT21;SFPQ;SNW1;PSPC1;SNRPG;SRSF3;RNPS1;SRSF5;HNRNPH3;SNRPC;SRSF7;RBMX	5.0
GO_Biological_Process_2021	mRNA processing (GO:0006397)	27/300	1.6219908844516127e-25	4.3199023889227946e-23	0	0	23.66148485660681	1350.6205779823797	SF3B4;SF3B3;RBM8A;SF3B6;SRSF1;PRPF19;EFTUD2;PNN;PUF60;TRA2A;POLR2D;BCAS2;HNRNPA0;SF3A2;HNRNPM;NUDT21;SFPQ;SNW1;PSPC1;SNRPG;SRSF3;RNPS1;SRSF5;HNRNPH3;SNRPC;SRSF7;RBMX	5.0
Reactome_2022	mRNA Splicing - Major Pathway R-HSA-72163	22/181	9.308369539152705e-24	2.1548875483138512e-21	0	0	31.38176823537917	1664.2105771307815	SF3B4;SF3B3;SF3A2;RBM8A;SF3B6;SRSF1;PRPF19;EFTUD2;HNRNPM;NUDT21;SNW1;PUF60;POLR2D;SNRPG;SRSF3;RNPS1;SRSF5;SNRPC;SRSF7;RBMX;BCAS2;HNRNPA0	5.0
Reactome_2022	mRNA Splicing R-HSA-72172	22/189	2.4716285560507008e-23	3.814546738171582e-21	0	0	29.86633629293138	1554.6795880161892	SF3B4;SF3B3;SF3A2;RBM8A;SF3B6;SRSF1;PRPF19;EFTUD2;HNRNPM;NUDT21;SNW1;PUF60;POLR2D;SNRPG;SRSF3;RNPS1;SRSF5;SNRPC;SRSF7;RBMX;BCAS2;HNRNPA0	5.0
Reactome_2022	Processing Of Capped Intron-Containing Pre-mRNA R-HSA-72203	22/242	6.064640937566239e-21	7.019821885232923e-19	0	0	22.610344827586207	1052.5525129551947	SF3B4;SF3B3;SF3A2;RBM8A;SF3B6;SRSF1;PRPF19;EFTUD2;HNRNPM;NUDT21;SNW1;PUF60;POLR2D;SNRPG;SRSF3;RNPS1;SRSF5;SNRPC;SRSF7;RBMX;BCAS2;HNRNPA0	5.0
Reactome_2022	Translation R-HSA-72766	20/281	5.3468709326673057e-17	4.951202483649925e-15	0	0	16.901287184123294	633.2478800606042	MRPS23;RPL10L;SRP68;SRP14;RPL6;MRPL11;EEF1A1;EEF1B2;MRPL4;RPS28;EIF2S3;RPS29;EIF3I;RPL14;EIF3H;RPL38;EIF3E;EIF3C;EIF3D;RPS12	5.0
GO_Biological_Process_2021	ribonucleoprotein complex assembly (GO:0022618)	16/136	2.952957619406292e-17	5.898532844764067e-15	0	0	28.34551971326165	1078.8627751862384	PRMT5;SF3A2;SRSF1;RPL10L;PRPF19;RPL6;NUDT21;RPS28;EIF2S3;PUF60;POLR2D;SNRPG;RPL24;RPL38;SRSF5;SNRPC	5.0
Reactome_2022	GTP Hydrolysis And Joining Of 60S Ribosomal Subunit R-HSA-72706	13/109	2.713667834604904e-14	1.7948974391743861e-12	0	0	27.92263454861111	872.2441903819184	RPL10L;RPL6;RPS28;EIF2S3;RPS29;EIF3I;RPL14;EIF3H;RPL38;EIF3E;EIF3C;EIF3D;RPS12	5.0
Reactome_2022	Generic Transcription Pathway R-HSA-212436	23/1190	7.383576000602987e-13	4.1348025603376727e-10	0	0	9.022237548853637	252.0303246440084	LMO1;USP7;CCNT1;CAV1;LMO2;H2BC1;UBE2E1;THBS1;PML;NFKB1;SOX2;CDK7;RAD51;MYB;RARA;BAX;PPARG;CDK12;TP53;E2F6;CAMK2G;TP63;TAF1	3.0
Reactome_2022	RNA Polymerase II Transcription R-HSA-73857	23/1312	5.515624799814562e-12	1.5443749439480772e-09	0	0	8.115215046642321	210.37425933764564	LMO1;USP7;CCNT1;CAV1;LMO2;H2BC1;UBE2E1;THBS1;PML;NFKB1;SOX2;CDK7;RAD51;MYB;RARA;BAX;PPARG;CDK12;TP53;E2F6;CAMK2G;TP63;TAF1	3.0
Reactome_2022	Gene Expression (Transcription) R-HSA-74160	23/1449	4.1412736912353505e-11	7.730377556972655e-09	0	0	7.281667977970102	174.08598659933057	LMO1;USP7;CCNT1;CAV1;LMO2;H2BC1;UBE2E1;THBS1;PML;NFKB1;SOX2;CDK7;RAD51;MYB;RARA;BAX;PPARG;CDK12;TP53;E2F6;CAMK2G;TP63;TAF1	3.0
Reactome_2022	Disease R-HSA-1643685	23/1736	1.4836975823087396e-09	2.0771766152322363e-07	0	0	5.967693249612005	121.31561583354176	ALK;CCNT1;CAV1;H2BC1;UBE2E1;CXCR4;TANK;THBS1;H2BC18;PML;NFKB1;LMNB1;CDK7;MAPK8;CASP8;RAD51;ERBB3;ERBB4;LMNA;TP53;CAMK2G;TAF1;FGFR1	3.0
GO_Biological_Process_2021	regulation of extrinsic apoptotic signaling pathway (GO:2001236)	7/64	1.3189736980900195e-09	1.201702478796629e-06	0	0	42.82948599569098	875.7093123133244	CYLD;CASP8;CAV1;FAS;THBS1;PML;FGFR1	3.0
GO_Biological_Process_2021	positive regulation of transcription by RNA polymerase II (GO:0045944)	17/908	2.349093153616922e-09	1.201702478796629e-06	0	0	7.731332234878334	153.61566844424556	LMO1;CCNT1;LMO2;NFKB1;TNFRSF1A;SOX2;PER1;CDK7;MED21;MYB;REL;RARA;PPARG;CDK12;OTX1;TP53;TP63	3.0
GO_Biological_Process_2021	positive regulation of transcription, DNA-templated (GO:0045893)	19/1183	2.743612965289107e-09	1.201702478796629e-06	0	0	6.809240168003055	134.2372938370463	LMO1;CCNT1;LMO2;PML;NFKB1;TNFRSF1A;SOX2;PER1;CDK7;PHF5A;ERBB4;MED21;MYB;REL;RARA;PPARG;OTX1;TP53;TP63	3.0
