feature	shap_importance	GeneSymbol	ReactomeCategory
P37108	0.0011312596625862	SRP14	Metabolism of proteins
Q15154	0.0011289134625023	PCM1	Cell Cycle
P49821	0.001123051227355	NDUFV1	Other
P17066	0.0011220669458529	HSPA6	Cellular responses to stimuli
Q9UPE1	0.0011146110654622	SRPK3	Other
P37802	0.0010938986007922	TAGLN2	Hemostasis
Q9H4B7	0.0010910921238712	TUBB1	Other
Q99873	0.0010750788635654	PRMT1	Disease
Q9BWF3	0.001063016363747	RBM4	Other
Q12857	0.0010612839302659	NFIA	Gene expression (Transcription)
Q8WUW1	0.001060208715813	BRK1	Disease
Q2TAC2	0.0010600029723426	CCDC57	Other
Q92614	0.0010553980429874	MYO18A	Disease
Q969T4	0.0010521986184625	UBE2E3	Metabolism of proteins
Q969G3	0.0010388182537131	SMARCE1	Gene expression (Transcription)
O75147	0.0010332985176126	OBSL1	Metabolism of proteins
Q8WXF1	0.0010307508026956	PSPC1	Other
Q14692	0.0010281481682625	BMS1	Metabolism of RNA
Q01814	0.0010245502482474	ATP2B2	Other
Q9H0A0	0.0010241612823715	NAT10	Metabolism of RNA
P19404	0.0010186713611663	NDUFV2	Other
O75607	0.001018238860428	NPM3	Other
P19438	0.0010168557059755	TNFRSF1A	Signal Transduction
P50914	0.0010023307726679	RPL14	Metabolism of RNA
P60709	0.0010004658439717	ACTB	Other
P23284	0.000999289502791	PPIB	Extracellular matrix organization
Q00765	0.0009910405941565	REEP5	Other
P13804	0.0009896672917665	ETFA	Other
O60493	0.0009826261894072	SNX3	Signal Transduction
P31942	0.000978367202848	HNRNPH3	Other
Q86TM6	0.0009724384387371	SYVN1	Disease
P02511	0.0009717144466862	CRYAB	Cellular responses to stimuli
Q16531	0.0009678574425147	DDB1	Metabolism of proteins
Q16594	0.0009665266673832	TAF9	Disease
P13693	0.0009658981223227	TPT1	Other
P62308	0.0009593689887893	SNRPG	Metabolism of RNA
P22061	0.0009557436729698	PCMT1	Metabolism of proteins
O43889	0.0009530596496137	CREB3	Other
Q14683	0.000951399855027	SMC1A	Signal Transduction
Q9Y5V3	0.0009513275716765	MAGED1	Programmed Cell Death
P37840	0.0009296443278979	SNCA	Metabolism of proteins
P21675	0.0009280284096758	TAF1	Disease
P61201	0.0009235764240954	COPS2	Signal Transduction
Q13243	0.0009223259930667	SRSF5	Metabolism of RNA
Q7RTV0	0.0009215077986685	PHF5A	Metabolism of RNA
Q96QK1	0.0009202697904504	VPS35	Signal Transduction
P00441	0.0009200079358091	SOD1	Cellular responses to stimuli
Q9UHI6	0.0009191998230149	DDX20	Metabolism of RNA
Q9H583	0.0009158446710737	HEATR1	Metabolism of RNA
O75955	0.0009118588049773	FLOT1	Programmed Cell Death
P68032	0.000908460392903	ACTC1	Signal Transduction
Q8IY31	0.0008932923405832	IFT20	Organelle biogenesis and maintenance
P27694	0.000886393222939	RPA1	Other
Q9C0B5	0.0008797904264345	ZDHHC5	Disease
Q13601	0.0008750838016151	KRR1	Metabolism of RNA
Q9NS69	0.0008644731700972	TOMM22	Protein localization
Q93050	0.0008630811273713	ATP6V0A1	Signal Transduction
P28799	0.0008622244134056	GRN	Immune System
Q96L21	0.000855691545977	RPL10L	Metabolism of RNA
P78347	0.000846127402689	GTF2I	Other
Q15942	0.0008457896632951	ZYX	Other
P35221	0.0008438312351184	CTNNA1	Developmental Biology
P84243	0.0008381572303687	H3-3B	Disease
Q01664	0.0008282230670136	TFAP4	Other
P25791	0.0008213205428665	LMO2	Gene expression (Transcription)
P61758	0.0008135843166338	VBP1	Metabolism of proteins
P61073	0.0008107802407411	CXCR4	Disease
O75306	0.0008107076778149	NDUFS2	Other
Q9GZT6	0.0008106233140403	CCDC90B	Other
Q9Y2X8	0.0008104971261814	UBE2D4	Immune System
Q93062	0.0008099032607202	RBPMS	Other
Q8WUM4	0.0008015163064497	PDCD6IP	Disease
Q9UEU0	0.0008008485155348	VTI1B	Hemostasis
Q15369	0.0008004674232149	ELOC	Disease
P27482	0.0007897276818903	CALML3	Other
Q14790	0.0007893123258073	CASP8	Disease
P62273	0.0007847408648596	RPS29	Metabolism of RNA
Q96GG9	0.0007833058624038	DCUN1D1	Metabolism of proteins
O95678	0.0007819162192285	KRT75	Developmental Biology
O94906	0.0007816073483514	PRPF6	Metabolism of RNA
Q16082	0.0007794963219492	HSPB2	Other
P24863	0.0007776074191113	CCNC	Disease
P31948	0.0007766830952462	STIP1	Cellular responses to stimuli
Q7Z3Y8	0.0007698935084166	KRT27	Developmental Biology
Q16666	0.0007662922516777	IFI16	Immune System
