accuracy,precision,recall,f1,auroc,auprc
0.7668393782383419,0.7788461538461539,0.7864077669902912,0.782608695652174,0.8467098166127293,0.8641244429569566
0.7150259067357513,0.7068965517241379,0.7961165048543689,0.7488584474885844,0.7930960086299892,0.8147644925365286
0.7461139896373057,0.7454545454545455,0.7961165048543689,0.7699530516431926,0.8089536138079828,0.8370069435763687
0.7150259067357513,0.7448979591836735,0.7087378640776699,0.7263681592039802,0.8091693635382955,0.844041138755232
0.7357512953367875,0.76,0.7378640776699029,0.7487684729064039,0.7820927723840345,0.7954864495810742
0.6424870466321243,0.67,0.6504854368932039,0.6600985221674877,0.7104638619201726,0.7575110128543203
0.7046632124352331,0.7129629629629629,0.7475728155339806,0.7298578199052131,0.7748651564185545,0.8129310387065181
0.6269430051813472,0.6534653465346535,0.6407766990291263,0.6470588235294118,0.7349514563106797,0.7757842072983266
0.6839378238341969,0.6944444444444444,0.7281553398058253,0.7109004739336493,0.7610571736785329,0.8007096348943122
0.7461139896373057,0.75,0.7864077669902912,0.7677725118483412,0.8321467098166128,0.8547399698109646
0.7046632124352331,0.7053571428571429,0.7669902912621359,0.7348837209302326,0.8149946062567421,0.8470497663214881
0.7409326424870466,0.7431192660550459,0.7864077669902912,0.7641509433962266,0.8118662351672061,0.8290364091209304
