vtaxid,prob_gastrointestinal,prob_neural,prob_other,prob_respiratory,prob_systemic,prob_viraemic,pred_label
1525177,0.8466,0.0298,0.0705,0.0089,0.0042,0.0399,gastrointestinal
1525178,0.8466,0.0298,0.0705,0.0089,0.0042,0.0399,gastrointestinal
1525179,0.8466,0.0298,0.0705,0.0089,0.0042,0.0399,gastrointestinal
1530251,0.8522,0.0291,0.0650,0.0089,0.0043,0.0406,gastrointestinal
1569923,0.8537,0.0284,0.0680,0.0088,0.0040,0.0371,gastrointestinal
1602211,0.8538,0.0300,0.0634,0.0085,0.0043,0.0400,gastrointestinal
1608040,0.8466,0.0298,0.0705,0.0089,0.0042,0.0399,gastrointestinal
1609130,0.8558,0.0296,0.0631,0.0089,0.0043,0.0383,gastrointestinal
1609131,0.8466,0.0298,0.0705,0.0089,0.0042,0.0399,gastrointestinal
1615798,0.8466,0.0298,0.0705,0.0089,0.0042,0.0399,gastrointestinal
164250,0.5811,0.0799,0.2102,0.0206,0.0150,0.0933,gastrointestinal
1678146,0.8466,0.0298,0.0705,0.0089,0.0042,0.0399,gastrointestinal
1679172,0.8466,0.0298,0.0705,0.0089,0.0042,0.0399,gastrointestinal
1714296,0.8429,0.0298,0.0759,0.0089,0.0042,0.0383,gastrointestinal
1714297,0.8385,0.0280,0.0850,0.0084,0.0040,0.0362,gastrointestinal
1714298,0.8429,0.0298,0.0759,0.0089,0.0042,0.0383,gastrointestinal
1714360,0.8584,0.0296,0.0588,0.0089,0.0044,0.0399,gastrointestinal
1714361,0.8584,0.0296,0.0588,0.0089,0.0044,0.0399,gastrointestinal
178530,0.8466,0.0298,0.0705,0.0089,0.0042,0.0399,gastrointestinal
1803959,0.8067,0.0346,0.1032,0.0098,0.0045,0.0412,gastrointestinal
1803961,0.5405,0.0853,0.2901,0.0263,0.0109,0.0469,gastrointestinal
1884453,0.7015,0.0603,0.1543,0.0219,0.0093,0.0527,gastrointestinal
1899067,0.8466,0.0298,0.0705,0.0089,0.0042,0.0399,gastrointestinal
1899068,0.8483,0.0284,0.0704,0.0089,0.0042,0.0399,gastrointestinal
1899069,0.8466,0.0298,0.0705,0.0089,0.0042,0.0399,gastrointestinal
1899070,0.8466,0.0298,0.0705,0.0089,0.0042,0.0399,gastrointestinal
1899071,0.8466,0.0298,0.0705,0.0089,0.0042,0.0399,gastrointestinal
1899072,0.8522,0.0291,0.0650,0.0089,0.0043,0.0406,gastrointestinal
1899073,0.8466,0.0298,0.0705,0.0089,0.0042,0.0399,gastrointestinal
1899074,0.8483,0.0284,0.0704,0.0089,0.0042,0.0399,gastrointestinal
1899075,0.8601,0.0281,0.0586,0.0089,0.0043,0.0399,gastrointestinal
1899076,0.8522,0.0291,0.0650,0.0089,0.0043,0.0406,gastrointestinal
1899077,0.8483,0.0284,0.0704,0.0089,0.0042,0.0399,gastrointestinal
1899078,0.8483,0.0284,0.0704,0.0089,0.0042,0.0399,gastrointestinal
1899079,0.8536,0.0296,0.0589,0.0096,0.0046,0.0437,gastrointestinal
1899080,0.8466,0.0298,0.0705,0.0089,0.0042,0.0399,gastrointestinal
1899081,0.8466,0.0298,0.0705,0.0089,0.0042,0.0399,gastrointestinal
1899082,0.8466,0.0298,0.0705,0.0089,0.0042,0.0399,gastrointestinal
1899083,0.8698,0.0261,0.0602,0.0098,0.0044,0.0295,gastrointestinal
1899084,0.8466,0.0298,0.0705,0.0089,0.0042,0.0399,gastrointestinal
1899085,0.8698,0.0261,0.0602,0.0098,0.0044,0.0295,gastrointestinal
1899086,0.8698,0.0261,0.0602,0.0098,0.0044,0.0295,gastrointestinal
1906931,0.3738,0.2108,0.1001,0.0191,0.0583,0.2379,gastrointestinal
1907787,0.8349,0.0321,0.0755,0.0095,0.0045,0.0435,gastrointestinal
1912147,0.8584,0.0296,0.0588,0.0089,0.0044,0.0399,gastrointestinal
1914575,0.8522,0.0291,0.0650,0.0089,0.0043,0.0406,gastrointestinal
1914576,0.8466,0.0298,0.0705,0.0089,0.0042,0.0399,gastrointestinal
1922835,0.8466,0.0298,0.0705,0.0089,0.0042,0.0399,gastrointestinal
1923094,0.8522,0.0291,0.0650,0.0089,0.0043,0.0406,gastrointestinal
1923116,0.8466,0.0298,0.0705,0.0089,0.0042,0.0399,gastrointestinal
1923133,0.8522,0.0291,0.0650,0.0089,0.0043,0.0406,gastrointestinal
1933176,0.8349,0.0321,0.0755,0.0095,0.0045,0.0435,gastrointestinal
1933263,0.8334,0.0316,0.0789,0.0095,0.0044,0.0422,gastrointestinal
196403,0.6220,0.0517,0.2191,0.0670,0.0086,0.0317,gastrointestinal
1972587,0.8466,0.0298,0.0705,0.0089,0.0042,0.0399,gastrointestinal
1986118,0.8425,0.0310,0.0713,0.0092,0.0044,0.0416,gastrointestinal
1987124,0.8518,0.0286,0.0671,0.0089,0.0041,0.0394,gastrointestinal
2044876,0.8466,0.0298,0.0705,0.0089,0.0042,0.0399,gastrointestinal
2053898,0.8519,0.0296,0.0639,0.0092,0.0043,0.0411,gastrointestinal
2081950,0.8584,0.0296,0.0588,0.0089,0.0044,0.0399,gastrointestinal
2094719,0.8522,0.0291,0.0650,0.0089,0.0043,0.0406,gastrointestinal
2152919,0.8466,0.0298,0.0705,0.0089,0.0042,0.0399,gastrointestinal
2169479,0.8466,0.0298,0.0705,0.0089,0.0042,0.0399,gastrointestinal
2184749,0.8410,0.0302,0.0762,0.0085,0.0042,0.0399,gastrointestinal
