feature,shap_importance,gene
P31947,0.0014268820407901,2810
O75461,0.0014229506836754,1876
P08173,0.0014151096486921,1132
P25445,0.0014143176799784,355
Q9Y3D6,0.0014132099458604,51024
P10242,0.0013937516003267,4602
Q8N257,0.0013826361665667,128312
O75340,0.0013810904360722,10016
P62487,0.0013787465268276,5436
Q9BVG8,0.0013679207568386,3801
Q9NQC7,0.0013666459817085,1540
O95271,0.0013665373259844,8658
Q9UQ80,0.0013541155268247,5036
Q04637,0.001353275319705,1981
P49756,0.0013508507403514,58517
Q29RF7,0.0013499733022066,23244
Q9Y3C5,0.0013440721046299,26994
O95684,0.0013439393141524,11116
Q9NQB0,0.001342948763092,6934
Q01995,0.0013322258267186,6876
O60437,0.0013293557545069,5493
Q14566,0.0013261357329294,4175
Q9H307,0.0013253627611324,5411
P51572,0.0013248890387679,10134
P02751,0.0013207405339816,2335
Q8N488,0.0013206170385816,23429
O75934,0.0013161797914627,10286
P49840,0.0013070660788109,2931
Q13277,0.0013031312187988,6809
Q08379,0.0013002691695463,2801
O75439,0.001298394037261,9512
P25800,0.0012978274090325,4004
Q01844,0.0012943364649953,2130
O95983,0.0012907124610339,53615
Q15427,0.0012855651963453,10262
O15078,0.0012803142855903,80184
O75688,0.001268593286822,5495
P10276,0.0012622405876415,5914
Q9Y3B4,0.001260073527133,51639
P61244,0.0012485211634229,4149
Q15077,0.0012467492730942,5031
P21281,0.0012421935192409,526
P52298,0.0012248305611496,22916
Q9Y3D9,0.0012204260063982,51649
P22392,0.0012180857660321,4831
Q08AM6,0.001205063507431,55697
P04637,0.0012017604928175,7157
P19838,0.0011931613780492,4790
O00165,0.0011901171034482,10456
Q93009,0.0011841197042544,7874
Q9Y2M5,0.0011838582778679,27252
P36507,0.0011717784492079,5605
Q13418,0.0011701895706775,3611
Q9NR28,0.0011664544513663,56616
Q9H3D4,0.0011657190438379,8626
Q5T7N2,0.0011604443855664,54596
Q92633,0.0011574943845513,1902
P21860,0.001153690478707,2065
Q13347,0.0011481006979758,8668
Q9Y2I6,0.0011455021947124,22981
O15372,0.0011322975434583,8667
P37108,0.0011312596625862,6727
Q15154,0.0011289134625023,5108
P49821,0.001123051227355,4723
P17066,0.0011220669458529,3310
Q9UPE1,0.0011146110654622,26576
P37802,0.0010938986007922,8407
Q9H4B7,0.0010910921238712,81027
Q99873,0.0010750788635654,3276
Q9BWF3,0.001063016363747,5936
Q12857,0.0010612839302659,4774
Q8WUW1,0.001060208715813,55845
Q2TAC2,0.0010600029723426,284001
Q92614,0.0010553980429874,399687
Q969T4,0.0010521986184625,10477
Q969G3,0.0010388182537131,6605
O75147,0.0010332985176126,23363
Q8WXF1,0.0010307508026956,55269
Q14692,0.0010281481682625,9790
Q01814,0.0010245502482474,491
Q9H0A0,0.0010241612823715,55226
P19404,0.0010186713611663,4729
O75607,0.001018238860428,10360
P19438,0.0010168557059755,7132
P50914,0.0010023307726679,9045
P60709,0.0010004658439717,60
P23284,0.000999289502791,5479
Q00765,0.0009910405941565,7905
P13804,0.0009896672917665,2108
O60493,0.0009826261894072,8724
P31942,0.000978367202848,3189
Q86TM6,0.0009724384387371,84447
P02511,0.0009717144466862,1410
Q16531,0.0009678574425147,1642
Q16594,0.0009665266673832,6880
P13693,0.0009658981223227,7178
P62308,0.0009593689887893,6637
P22061,0.0009557436729698,5110
O43889,0.0009530596496137,10488
Q14683,0.000951399855027,8243
Q9Y5V3,0.0009513275716765,9500
P37840,0.0009296443278979,6622
P21675,0.0009280284096758,6872
P61201,0.0009235764240954,9318
Q13243,0.0009223259930667,6430
Q7RTV0,0.0009215077986685,84844
Q96QK1,0.0009202697904504,55737
P00441,0.0009200079358091,6647
Q9UHI6,0.0009191998230149,11218
Q9H583,0.0009158446710737,55127
O75955,0.0009118588049773,10211
P68032,0.000908460392903,70
Q8IY31,0.0008932923405832,90410
P27694,0.000886393222939,6117
Q9C0B5,0.0008797904264345,25921
Q13601,0.0008750838016151,11103
Q9NS69,0.0008644731700972,56993
Q93050,0.0008630811273713,535
P28799,0.0008622244134056,2896
Q96L21,0.000855691545977,140801
P78347,0.000846127402689,2969
Q15942,0.0008457896632951,7791
P35221,0.0008438312351184,1495
P84243,0.0008381572303687,3021
Q01664,0.0008282230670136,7023
P25791,0.0008213205428665,4005
P61758,0.0008135843166338,7411
P61073,0.0008107802407411,7852
O75306,0.0008107076778149,4720
Q9GZT6,0.0008106233140403,60492
Q9Y2X8,0.0008104971261814,51619
Q93062,0.0008099032607202,11030
