taxid	ppi_count_before
2050578	12455.0
2050976	963.0
2055263	597.0
2057509	884.0
2057932	346.0
2057933	630.0
2060135	14065.0
2060136	13544.0
2060137	15581.0
2060138	12653.0
2060139	13001.0
2060140	13140.0
2083198	9132.0
2083199	9437.0
2169701	9382.0
2169902	11725.0
2169934	498.0
2169935	452.0
2169936	581.0
2169991	5150.0
2170113	510.0
2170194	5670.0
2170195	5810.0
2170196	6163.0
2170197	5982.0
2170198	5874.0
2170199	5376.0
2170203	5994.0
2184748	746.0
2200830	125755.0
2200956	15526.0
2200957	15040.0
2200958	14477.0
2200959	13839.0
2202563	553.0
2202565	639.0
2219998	1456.0
2259728	10155.0
2304647	852.0
2461378	22095.0
2560319	9887.0
2560525	5360.0
2560526	4429.0
2560580	8105.0
2560602	6102.0
2560702	1144.0
2583509	598.0
2602439	115215.0
2609450	2864.0
2713662	1018.0
2714898	547.0
2714899	483.0
2732654	893.0
2732655	894.0
2734294	7299.0
2734339	5304.0
2734436	3810.0
2734523	595.0
2747210	5700.0
2748252	2163.0
2748253	2342.0
2748378	553.0
2748762	6975.0
2748958	8312.0
2749445	239.0
2749446	239.0
2749447	239.0
2749448	2523.0
2749449	2583.0
2749450	2528.0
2778524	893.0
2795181	2250.0
2805939	1393.0
2809802	856.0
2844074	3155.0
2844075	1754.0
2844078	1366.0
2844554	819.0
2844581	961.0
2844582	1550.0
2844583	527.0
2844584	954.0
2844585	954.0
2844646	1601.0
2844800	1416.0
2844802	1110.0
2844803	1712.0
2844804	982.0
2844805	1665.0
2845010	569.0
2845897	534.0
2845899	588.0
2845900	552.0
2846071	1605.0
2853105	566.0
2853106	12064.0
2853118	1009.0
2853119	1269.0
2853120	1039.0
2927897	11181.0
2944249	12057.0
2951618	13806.0
2951619	15410.0
2955291	33171.0
2955292	3093.0
2955297	9292.0
2955465	21930.0
2955745	5720.0
2955746	6799.0
2955935	5248.0
2956142	7015.0
2956252	891.0
2956523	5435.0
2956528	6236.0
2971765	7256.0
3003858	9911.0
3003859	10525.0
3003860	9165.0
3014888	998.0
3025750	429.0
3026463	11611.0
3043599	27037.0
3046277	1026.0
3047375	1080.0
3047384	7664.0
3047385	1073.0
3047395	796.0
3047696	861.0
3047743	1520.0
3047790	639.0
3047817	694.0
3047837	834.0
3047956	425.0
3047957	492.0
3047958	442.0
3047959	419.0
3047960	417.0
3047961	347.0
3047962	337.0
3047963	341.0
3047964	365.0
3047965	395.0
3047966	401.0
3047967	398.0
3048148	10708.0
3048158	1042.0
3048165	778.0
3048168	1064.0
3048169	1145.0
3048170	809.0
3048175	796.0
