	Mollentze's study	Brierley's study	ViralZone	HVD	Virus-Host DB	VIRION
290028	1.0	1.0	0.0	0.0	0.0	0.0
291484	0.0	0.0	0.0	0.0	1.0	0.0
295016	0.0	0.0	0.0	1.0	0.0	0.0
308159	0.0	0.0	0.0	1.0	0.0	0.0
315431	0.0	0.0	0.0	1.0	0.0	0.0
318279	0.0	0.0	0.0	0.0	1.0	0.0
329641	0.0	0.0	0.0	0.0	1.0	0.0
333754	1.0	0.0	0.0	0.0	0.0	0.0
333757	1.0	0.0	0.0	0.0	0.0	0.0
333766	1.0	0.0	0.0	0.0	0.0	0.0
333767	1.0	0.0	0.0	0.0	0.0	0.0
333924	1.0	0.0	0.0	0.0	0.0	0.0
333926	1.0	0.0	0.0	0.0	0.0	0.0
333928	1.0	0.0	0.0	0.0	0.0	0.0
333929	1.0	0.0	0.0	0.0	0.0	0.0
333930	1.0	0.0	0.0	0.0	0.0	0.0
333931	1.0	0.0	0.0	0.0	0.0	0.0
334203	1.0	0.0	0.0	0.0	0.0	0.0
334204	1.0	0.0	0.0	0.0	0.0	0.0
334205	1.0	0.0	0.0	0.0	0.0	0.0
334207	1.0	0.0	0.0	0.0	0.0	0.0
334208	1.0	0.0	0.0	0.0	0.0	0.0
334209	1.0	0.0	0.0	0.0	0.0	0.0
336959	0.0	0.0	0.0	1.0	0.0	0.0
337039	1.0	0.0	0.0	0.0	0.0	0.0
337041	1.0	0.0	0.0	0.0	0.0	0.0
337042	1.0	0.0	0.0	0.0	0.0	0.0
337043	1.0	0.0	0.0	0.0	0.0	0.0
337044	1.0	0.0	0.0	0.0	0.0	0.0
337048	1.0	0.0	0.0	0.0	0.0	0.0
337049	1.0	0.0	0.0	0.0	0.0	0.0
337050	1.0	0.0	0.0	0.0	0.0	0.0
337051	1.0	0.0	0.0	0.0	0.0	0.0
338079	0.0	1.0	0.0	0.0	0.0	0.0
338478	0.0	1.0	0.0	0.0	0.0	0.0
342409	0.0	0.0	0.0	1.0	0.0	0.0
345195	0.0	0.0	0.0	1.0	0.0	0.0
345199	0.0	0.0	0.0	1.0	0.0	0.0
348136	0.0	0.0	0.0	1.0	0.0	0.0
351073	0.0	1.0	0.0	0.0	0.0	0.0
384335	0.0	0.0	0.0	0.0	0.0	1.0
390157	0.0	0.0	0.0	1.0	0.0	0.0
393049	0.0	0.0	0.0	0.0	1.0	0.0
405554	0.0	0.0	0.0	1.0	0.0	0.0
419435	0.0	0.0	0.0	1.0	0.0	0.0
430511	0.0	0.0	0.0	1.0	0.0	0.0
430911	0.0	0.0	0.0	1.0	0.0	0.0
432261	0.0	0.0	0.0	1.0	0.0	0.0
433731	0.0	0.0	0.0	1.0	0.0	0.0
433732	0.0	0.0	0.0	1.0	0.0	0.0
463676	1.0	1.0	0.0	0.0	0.0	0.0
481494	0.0	0.0	0.0	0.0	0.0	1.0
481495	0.0	0.0	0.0	0.0	0.0	1.0
481497	0.0	0.0	0.0	0.0	0.0	1.0
481503	0.0	0.0	0.0	0.0	0.0	1.0
481504	0.0	0.0	0.0	0.0	0.0	1.0
481510	0.0	0.0	0.0	0.0	0.0	1.0
481513	0.0	0.0	0.0	0.0	0.0	1.0
496406	0.0	0.0	0.0	1.0	0.0	0.0
496407	0.0	0.0	0.0	1.0	0.0	0.0
496408	0.0	0.0	0.0	1.0	0.0	0.0
496409	0.0	0.0	0.0	1.0	0.0	0.0
497343	0.0	0.0	0.0	1.0	0.0	0.0
497344	0.0	0.0	0.0	1.0	0.0	0.0
497915	0.0	0.0	0.0	1.0	0.0	0.0
536079	0.0	0.0	0.0	1.0	0.0	0.0
537513	0.0	0.0	0.0	1.0	0.0	0.0
537514	0.0	0.0	0.0	1.0	0.0	0.0
537516	0.0	0.0	0.0	1.0	0.0	0.0
537517	0.0	0.0	0.0	1.0	0.0	0.0
537524	0.0	0.0	0.0	1.0	0.0	0.0
537526	0.0	0.0	0.0	1.0	0.0	0.0
537528	0.0	0.0	0.0	1.0	0.0	0.0
537530	0.0	0.0	0.0	1.0	0.0	0.0
537531	0.0	0.0	0.0	1.0	0.0	0.0
537534	0.0	0.0	0.0	1.0	0.0	0.0
537535	0.0	0.0	0.0	1.0	0.0	0.0
537539	0.0	0.0	0.0	1.0	0.0	0.0
537543	0.0	0.0	0.0	1.0	0.0	0.0
537547	0.0	0.0	0.0	1.0	0.0	0.0
537550	0.0	0.0	0.0	1.0	0.0	0.0
537551	0.0	0.0	0.0	1.0	0.0	0.0
537552	0.0	0.0	0.0	1.0	0.0	0.0
537553	0.0	0.0	0.0	1.0	0.0	0.0
537555	0.0	0.0	0.0	1.0	0.0	0.0
537557	0.0	0.0	0.0	1.0	0.0	0.0
537558	0.0	0.0	0.0	1.0	0.0	0.0
537559	0.0	0.0	0.0	1.0	0.0	0.0
537560	0.0	0.0	0.0	1.0	0.0	0.0
537561	0.0	0.0	0.0	1.0	0.0	0.0
537563	0.0	0.0	0.0	1.0	0.0	0.0
537565	0.0	0.0	0.0	1.0	0.0	0.0
537566	0.0	0.0	0.0	1.0	0.0	0.0
537570	0.0	0.0	0.0	1.0	0.0	0.0
537573	0.0	0.0	0.0	1.0	0.0	0.0
537574	0.0	0.0	0.0	1.0	0.0	0.0
537577	0.0	0.0	0.0	1.0	0.0	0.0
537578	0.0	0.0	0.0	1.0	0.0	0.0
537584	0.0	0.0	0.0	1.0	0.0	0.0
537587	0.0	0.0	0.0	1.0	0.0	0.0
537588	0.0	0.0	0.0	1.0	0.0	0.0
537589	0.0	0.0	0.0	1.0	0.0	0.0
537591	0.0	0.0	0.0	1.0	0.0	0.0
543937	0.0	0.0	0.0	0.0	0.0	1.0
546676	0.0	0.0	0.0	1.0	0.0	0.0
546677	0.0	0.0	0.0	1.0	0.0	0.0
546678	0.0	0.0	0.0	1.0	0.0	0.0
546679	0.0	0.0	0.0	1.0	0.0	0.0
546680	0.0	0.0	0.0	1.0	0.0	0.0
546681	0.0	0.0	0.0	1.0	0.0	0.0
546682	0.0	0.0	0.0	1.0	0.0	0.0
546683	0.0	0.0	0.0	1.0	0.0	0.0
546685	0.0	0.0	0.0	1.0	0.0	0.0
546687	0.0	0.0	0.0	1.0	0.0	0.0
546688	0.0	0.0	0.0	1.0	0.0	0.0
546689	0.0	0.0	0.0	1.0	0.0	0.0
546691	0.0	0.0	0.0	1.0	0.0	0.0
546692	0.0	0.0	0.0	1.0	0.0	0.0
546693	0.0	0.0	0.0	1.0	0.0	0.0
546694	0.0	0.0	0.0	1.0	0.0	0.0
546696	0.0	0.0	0.0	1.0	0.0	0.0
546697	0.0	0.0	0.0	1.0	0.0	0.0
546698	0.0	0.0	0.0	1.0	0.0	0.0
546699	0.0	0.0	0.0	1.0	0.0	0.0
546700	0.0	0.0	0.0	1.0	0.0	0.0
546701	0.0	0.0	0.0	1.0	0.0	0.0
546702	0.0	0.0	0.0	1.0	0.0	0.0
546703	0.0	0.0	0.0	1.0	0.0	0.0
546709	0.0	0.0	0.0	1.0	0.0	0.0
546710	0.0	0.0	0.0	1.0	0.0	0.0
546711	0.0	0.0	0.0	1.0	0.0	0.0
546714	0.0	0.0	0.0	1.0	0.0	0.0
546715	0.0	0.0	0.0	1.0	0.0	0.0
546721	0.0	0.0	0.0	1.0	0.0	0.0
546722	0.0	0.0	0.0	1.0	0.0	0.0
546723	0.0	0.0	0.0	1.0	0.0	0.0
546725	0.0	0.0	0.0	1.0	0.0	0.0
546726	0.0	0.0	0.0	1.0	0.0	0.0
546727	0.0	0.0	0.0	1.0	0.0	0.0
546728	0.0	0.0	0.0	1.0	0.0	0.0
546729	0.0	0.0	0.0	1.0	0.0	0.0
565995	1.0	0.0	0.0	0.0	0.0	0.0
580061	0.0	0.0	0.0	1.0	0.0	0.0
586421	0.0	0.0	0.0	1.0	0.0	0.0
611726	0.0	0.0	0.0	0.0	0.0	1.0
611728	0.0	0.0	0.0	0.0	0.0	1.0
611730	0.0	0.0	0.0	0.0	0.0	1.0
611734	0.0	0.0	0.0	0.0	0.0	1.0
611737	0.0	0.0	0.0	0.0	0.0	1.0
611738	0.0	0.0	0.0	0.0	0.0	1.0
611739	0.0	0.0	0.0	0.0	0.0	1.0
611740	0.0	0.0	0.0	0.0	0.0	1.0
611741	0.0	0.0	0.0	0.0	0.0	1.0
611757	0.0	0.0	0.0	0.0	0.0	1.0
611758	0.0	0.0	0.0	0.0	0.0	1.0
611759	0.0	0.0	0.0	0.0	0.0	1.0
611761	0.0	0.0	0.0	0.0	0.0	1.0
611762	0.0	0.0	0.0	0.0	0.0	1.0
611763	0.0	0.0	0.0	0.0	0.0	1.0
611764	0.0	0.0	0.0	0.0	0.0	1.0
630716	0.0	0.0	0.0	1.0	0.0	0.0
630718	0.0	0.0	0.0	1.0	0.0	0.0
631345	0.0	0.0	0.0	1.0	0.0	0.0
