interact_type	virus_unid	human_unid	VirusName	FamilyName
physical association	Q81870	P06241	Orthohepevirus A	Hepeviridae
physical association	Q81870	P62993	Orthohepevirus A	Hepeviridae
physical association	Q81870	P19174	Orthohepevirus A	Hepeviridae
physical association	Q81870	P08631	Orthohepevirus A	Hepeviridae
physical association	Q81870	Q16828	Orthohepevirus A	Hepeviridae
physical association	Q81870	P27986	Orthohepevirus A	Hepeviridae
physical association	Q81871	Q9H6X4	Orthohepevirus A	Hepeviridae
physical association	Q81870	P12931	Orthohepevirus A	Hepeviridae
physical association	Q81870	P00519	Orthohepevirus A	Hepeviridae
physical association	P0C799	P09429	Borna disease virus	Bornaviridae
physical association	P0DOF0	P52294	Borna disease virus	Bornaviridae
direct interaction	P03081	P30154	Macaca mulatta polyomavirus 1	Polyomaviridae
direct interaction	P03070	P28347	Macaca mulatta polyomavirus 1	Polyomaviridae
physical association	P03070	P35232	Macaca mulatta polyomavirus 1	Polyomaviridae
physical association	P03070	P35568	Macaca mulatta polyomavirus 1	Polyomaviridae
physical association	P03081	P67775	Macaca mulatta polyomavirus 1	Polyomaviridae
physical association	P03070	Q00403	Macaca mulatta polyomavirus 1	Polyomaviridae
physical association	P03070	Q00577	Macaca mulatta polyomavirus 1	Polyomaviridae
direct interaction	P03070	P52292	Macaca mulatta polyomavirus 1	Polyomaviridae
physical association	P03070	P20248	Macaca mulatta polyomavirus 1	Polyomaviridae
direct interaction	P03070	P06493	Macaca mulatta polyomavirus 1	Polyomaviridae
physical association	P03070	P07305	Macaca mulatta polyomavirus 1	Polyomaviridae
physical association	P03070	P16989	Macaca mulatta polyomavirus 1	Polyomaviridae
physical association	P03070	P24278	Macaca mulatta polyomavirus 1	Polyomaviridae
physical association	P03070	P50222	Macaca mulatta polyomavirus 1	Polyomaviridae
physical association	P03070	P53805	Macaca mulatta polyomavirus 1	Polyomaviridae
physical association	P03070	P61244	Macaca mulatta polyomavirus 1	Polyomaviridae
physical association	P03070	P62633	Macaca mulatta polyomavirus 1	Polyomaviridae
physical association	P03070	P68400	Macaca mulatta polyomavirus 1	Polyomaviridae
physical association	P03070	Q13433	Macaca mulatta polyomavirus 1	Polyomaviridae
physical association	P03070	Q13547	Macaca mulatta polyomavirus 1	Polyomaviridae
physical association	P03070	Q13895	Macaca mulatta polyomavirus 1	Polyomaviridae
physical association	P03070	Q6PEY2	Macaca mulatta polyomavirus 1	Polyomaviridae
physical association	P03070	Q86VM9	Macaca mulatta polyomavirus 1	Polyomaviridae
physical association	P03070	Q8N983	Macaca mulatta polyomavirus 1	Polyomaviridae
physical association	P03070	Q8NHQ9	Macaca mulatta polyomavirus 1	Polyomaviridae
physical association	P03070	Q8TBB1	Macaca mulatta polyomavirus 1	Polyomaviridae
physical association	P03070	Q8TD10	Macaca mulatta polyomavirus 1	Polyomaviridae
physical association	P03070	Q96LI6	Macaca mulatta polyomavirus 1	Polyomaviridae
direct interaction	P03070	Q99497	Macaca mulatta polyomavirus 1	Polyomaviridae
physical association	P03070	Q9HC62	Macaca mulatta polyomavirus 1	Polyomaviridae
physical association	P03070	Q9NTK5	Macaca mulatta polyomavirus 1	Polyomaviridae
physical association	P03070	Q9UHH9	Macaca mulatta polyomavirus 1	Polyomaviridae
physical association	P03070	Q9UM19	Macaca mulatta polyomavirus 1	Polyomaviridae
physical association	P03070	Q9Y297	Macaca mulatta polyomavirus 1	Polyomaviridae
direct interaction	P03081	P11387	Macaca mulatta polyomavirus 1	Polyomaviridae
physical association	O92837	P09874	Macaca mulatta polyomavirus 1	Polyomaviridae
physical association	O92837	P52292	Macaca mulatta polyomavirus 1	Polyomaviridae
physical association	O92837	Q14974	Macaca mulatta polyomavirus 1	Polyomaviridae
physical association	O92837	P08047	Macaca mulatta polyomavirus 1	Polyomaviridae
physical association	P03070	P27694	Macaca mulatta polyomavirus 1	Polyomaviridae
physical association	P03070	Q9NR12	Macaca mulatta polyomavirus 1	Polyomaviridae
physical association	P03070	Q15811	Macaca mulatta polyomavirus 1	Polyomaviridae
physical association	P03070	Q7Z7L1	Macaca mulatta polyomavirus 1	Polyomaviridae
physical association	P03081	P10619	Macaca mulatta polyomavirus 1	Polyomaviridae
physical association	Q9DH70	P27694	Macaca mulatta polyomavirus 1	Polyomaviridae
physical association	P03070	Q9NXH8	Macaca mulatta polyomavirus 1	Polyomaviridae
physical association	P03070	Q01813	Macaca mulatta polyomavirus 1	Polyomaviridae
physical association	P03081	Q9Y6E0	Macaca mulatta polyomavirus 1	Polyomaviridae
physical association	P03070	Q86TN4	Macaca mulatta polyomavirus 1	Polyomaviridae
physical association	P03081	O95819	Macaca mulatta polyomavirus 1	Polyomaviridae
physical association	P03081	Q9NRL3	Macaca mulatta polyomavirus 1	Polyomaviridae
physical association	P03070	Q6YHU6	Macaca mulatta polyomavirus 1	Polyomaviridae
physical association	P03070	Q8WVD3	Macaca mulatta polyomavirus 1	Polyomaviridae
physical association	P03081	Q9BQB6	Macaca mulatta polyomavirus 1	Polyomaviridae
physical association	P03070	Q12797	Macaca mulatta polyomavirus 1	Polyomaviridae
physical association	P03081	Q6NYC8	Macaca mulatta polyomavirus 1	Polyomaviridae
physical association	P03070	P12109	Macaca mulatta polyomavirus 1	Polyomaviridae
physical association	P03070	Q9Y6N5	Macaca mulatta polyomavirus 1	Polyomaviridae
physical association	P03070	Q8IXQ6	Macaca mulatta polyomavirus 1	Polyomaviridae
physical association	P03081	Q9P2B4	Macaca mulatta polyomavirus 1	Polyomaviridae
physical association	P03081	P49023	Macaca mulatta polyomavirus 1	Polyomaviridae
physical association	Q9DH70	Q7L1V2	Macaca mulatta polyomavirus 1	Polyomaviridae
physical association	P03081	P46734	Macaca mulatta polyomavirus 1	Polyomaviridae
