vtaxid,prob_direct contact,prob_faecal-oral,prob_respiratory,prob_vector,pred_label
1899071,0.0975,0.8672,0.0155,0.0198,faecal-oral
1899072,0.0975,0.8672,0.0155,0.0198,faecal-oral
1899073,0.0975,0.8672,0.0155,0.0198,faecal-oral
1899074,0.0975,0.8672,0.0155,0.0198,faecal-oral
1899075,0.0975,0.8672,0.0155,0.0198,faecal-oral
1899076,0.0975,0.8672,0.0155,0.0198,faecal-oral
1899077,0.0975,0.8672,0.0155,0.0198,faecal-oral
1899078,0.0975,0.8672,0.0155,0.0198,faecal-oral
1899079,0.0975,0.8672,0.0155,0.0198,faecal-oral
1899080,0.0975,0.8672,0.0155,0.0198,faecal-oral
1899081,0.0975,0.8672,0.0155,0.0198,faecal-oral
1899082,0.0975,0.8672,0.0155,0.0198,faecal-oral
1899083,0.0650,0.9096,0.0146,0.0107,faecal-oral
1899084,0.0975,0.8672,0.0155,0.0198,faecal-oral
1899085,0.0650,0.9096,0.0146,0.0107,faecal-oral
1899086,0.0650,0.9096,0.0146,0.0107,faecal-oral
1906931,0.0760,0.1543,0.0413,0.7284,vector
1907787,0.0975,0.8672,0.0155,0.0198,faecal-oral
1912147,0.0975,0.8672,0.0155,0.0198,faecal-oral
1914575,0.0975,0.8672,0.0155,0.0198,faecal-oral
1914576,0.0975,0.8672,0.0155,0.0198,faecal-oral
1922835,0.0975,0.8672,0.0155,0.0198,faecal-oral
1923094,0.0975,0.8672,0.0155,0.0198,faecal-oral
1923116,0.0975,0.8672,0.0155,0.0198,faecal-oral
1923133,0.0975,0.8672,0.0155,0.0198,faecal-oral
1933176,0.0975,0.8672,0.0155,0.0198,faecal-oral
1933263,0.0975,0.8672,0.0155,0.0198,faecal-oral
196403,0.2616,0.7188,0.0120,0.0077,faecal-oral
1972587,0.0975,0.8672,0.0155,0.0198,faecal-oral
1986118,0.0975,0.8672,0.0155,0.0198,faecal-oral
1987124,0.0725,0.8934,0.0152,0.0189,faecal-oral
2044876,0.0975,0.8672,0.0155,0.0198,faecal-oral
2053898,0.1040,0.8615,0.0153,0.0192,faecal-oral
2081950,0.0975,0.8672,0.0155,0.0198,faecal-oral
2094719,0.0975,0.8672,0.0155,0.0198,faecal-oral
2152919,0.0975,0.8672,0.0155,0.0198,faecal-oral
2169479,0.0975,0.8672,0.0155,0.0198,faecal-oral
2184749,0.0975,0.8672,0.0155,0.0198,faecal-oral
2219046,0.1040,0.8615,0.0153,0.0192,faecal-oral
2219047,0.0975,0.8672,0.0155,0.0198,faecal-oral
2219048,0.0975,0.8672,0.0155,0.0198,faecal-oral
2219052,0.0975,0.8672,0.0155,0.0198,faecal-oral
2219053,0.1040,0.8615,0.0153,0.0192,faecal-oral
2219997,0.0975,0.8672,0.0155,0.0198,faecal-oral
2269360,0.0943,0.8748,0.0145,0.0164,faecal-oral
235406,0.0975,0.8672,0.0155,0.0198,faecal-oral
2364099,0.0975,0.8672,0.0155,0.0198,faecal-oral
2497867,0.0975,0.8672,0.0155,0.0198,faecal-oral
2499678,0.0975,0.8672,0.0155,0.0198,faecal-oral
2501947,0.1072,0.8562,0.0165,0.0202,faecal-oral
2516502,0.0975,0.8672,0.0155,0.0198,faecal-oral
2602438,0.0975,0.8672,0.0155,0.0198,faecal-oral
2716315,0.0975,0.8672,0.0155,0.0198,faecal-oral
2778245,0.0975,0.8672,0.0155,0.0198,faecal-oral
