feature,class,shap_importance
Q08380,direct contact,0.005184584436871347
Q15942,vector,0.005167271851208288
P60228,direct contact,0.005165897853272826
P37840,faecal-oral,0.005153219939676985
Q9UKB1,vector,0.005150345390738088
Q9BZV1,vector,0.005147110863594195
O95967,respiratory,0.005143529373037989
P27448,direct contact,0.005136197775631759
Q504Q3,vector,0.0051261170491863255
Q15942,direct contact,0.00508204668089327
P35580,direct contact,0.005076814916113122
Q9H0U4,direct contact,0.00506467873319183
P04626,direct contact,0.0050599055875741985
P27449,direct contact,0.00505781969564794
O95478,direct contact,0.005054561395677176
Q9UM47,direct contact,0.0050516052961887626
P05109,vector,0.005043291121233733
Q9NY93,vector,0.005042260372942302
P27448,vector,0.005040347165773864
Q13123,faecal-oral,0.005032756143898478
P14735,vector,0.005026639631963894
O00499,direct contact,0.005022768317480599
Q5T1M5,vector,0.00500050180525245
P42704,respiratory,0.00499799455083277
Q9BYJ9,faecal-oral,0.004989823457185677
O14976,direct contact,0.0049773898941539605
Q16526,vector,0.004976495225501107
P61769,direct contact,0.004970615927135609
Q5JTZ9,vector,0.004959634904344511
Q96E39,vector,0.004940917425371352
Q8WXA9,faecal-oral,0.004921134230228741
Q9NRR5,vector,0.004897626728554209
Q6NZI2,respiratory,0.00489473689391852
Q96HA7,direct contact,0.004881692894038591
Q9H4F8,vector,0.004877928235863839
P54707,faecal-oral,0.004876733137701141
Q96JK2,direct contact,0.004853222866090674
Q9GZT6,respiratory,0.004842435858578713
Q9H0S4,vector,0.004833019756621583
O75251,vector,0.004802739049517748
Q27J81,faecal-oral,0.004796944304625477
P68032,direct contact,0.004794482670109627
P39656,direct contact,0.004792044497272631
Q6PII3,respiratory,0.004782165849709406
Q9BZV1,faecal-oral,0.0047709641724607
Q5T7N2,direct contact,0.004770791023775381
Q16526,respiratory,0.0047676888677291186
Q8NHM5,vector,0.004763291073702282
Q9H6R4,vector,0.004762991624974544
Q9Y2Z0,vector,0.004758903504813751
Q9H8Y8,direct contact,0.00475859885901175
O95789,vector,0.004754350405965755
P09972,vector,0.004751750563243123
P11274,faecal-oral,0.0047350228252729274
Q99442,direct contact,0.004734359805412307
P39656,faecal-oral,0.004720592519814852
O75688,respiratory,0.004714370665028496
P00748,respiratory,0.004694269496799268
Q9UEU0,direct contact,0.004691632146026516
Q96HA7,respiratory,0.004686675214876604
P28335,vector,0.004685078009536059
O95831,vector,0.004683258884373173
P13667,vector,0.004677805873634063
P78382,respiratory,0.004668388790113909
P52789,respiratory,0.0046582674278108655
Q93088,respiratory,0.004642760849769097
P40937,faecal-oral,0.004641434622149186
O75947,vector,0.004639089894179181
P40939,faecal-oral,0.004627639763913593
Q13164,vector,0.00462237551317112
Q96RP9,respiratory,0.0046213962036839125
Q9NRD1,direct contact,0.004617379809628804
Q5JTH9,faecal-oral,0.004601537126404896
Q96A08,faecal-oral,0.004600792488047454
P55081,faecal-oral,0.004597412382174834
Q96HB5,vector,0.0045958493331865365
Q9C0F1,respiratory,0.0045834200781999295
P49790,faecal-oral,0.004572786797750605
P56962,vector,0.00456835660075938
P35269,vector,0.0045550528490229175
O14976,vector,0.004553069659288838
P00748,direct contact,0.004553051350976631
Q8IVT5,vector,0.004552397558865011
P41208,vector,0.0045519259150566095
Q9Y2J4,respiratory,0.004545583234176322
P46059,vector,0.004543309142469637
P10912,respiratory,0.0045422634289286334
O00459,direct contact,0.004538663381846908
Q13409,vector,0.00453768496807237
Q16637,respiratory,0.004530467799271203
P37235,vector,0.004523740658761607
Q9NYJ8,vector,0.004513290201430575
Q02790,direct contact,0.004504195232305782
O60684,respiratory,0.004499319083194584
P68871,direct contact,0.004496122286311773
Q14767,vector,0.004491541110142307
P50552,vector,0.004489771385018518
P14314,direct contact,0.004489495934813642
Q6P5R6,respiratory,0.0044774269659056745
Q86XL3,vector,0.004475577134118107
P34741,direct contact,0.0044741933867089795
Q02790,vector,0.004470065791042619
P29317,respiratory,0.004452649458710299
P02766,direct contact,0.004429983067613718
O15169,faecal-oral,0.00442808262411652
O75182,vector,0.004421047887898144
Q8WXF1,respiratory,0.004404622451862406
O15078,vector,0.004396631919575936
Q96E11,vector,0.00439311052916011
Q9Y2Z0,faecal-oral,0.004389312416757569
O43795,vector,0.004383681188122922
Q15375,direct contact,0.00438317284611187
Q92547,vector,0.004380928857031154
P52815,faecal-oral,0.004378720912415235
P21860,respiratory,0.0043743866342254
P11274,respiratory,0.00437329814279099
O60563,respiratory,0.0043655896807581135
P08779,faecal-oral,0.004350492943343203
P54252,direct contact,0.004348814522876
O76015,vector,0.004343287329134337
Q92973,vector,0.0043355742791643635
P18085,vector,0.004333569052560382
Q9ULV4,vector,0.004331548316636722
Q9UHB9,direct contact,0.004319656283060503
Q53F19,direct contact,0.004318898112362733
P14635,faecal-oral,0.004308635198883328
P07550,vector,0.0043085562808276604
P08138,vector,0.004308426284565906
Q9NUQ6,vector,0.004304349381288616
P78347,direct contact,0.0043036238636112506
Q9NV70,faecal-oral,0.004303617500351797
Q15262,vector,0.004288855937385494
Q08999,vector,0.004282682307176205
P55081,vector,0.004274439206245293
Q9Y5L0,direct contact,0.004273354262943809
